MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",76.924313,164.310204,76.624490,5.596184,6.829786,8.744812,5,10
"chord_mrx_09_000001",96.648206,200.129245,96.616299,0.188257,0.000000,0.000000,1,2
"chord_mrx_09_000002",79.642716,182.143129,79.575788,3.404488,7.870566,5.957639,5,14
"chord_mrx_09_000003",68.759477,153.469388,68.473040,2.772737,7.009938,15.474071,4,14
"chord_mrx_09_000004",81.659304,236.088889,81.600292,0.599951,10.342035,5.050782,13,19
"chord_mrx_09_000005",74.015941,194.841000,73.917421,4.792123,1.773797,10.507775,12,24
"chord_mrx_09_000006",73.584553,183.771429,73.251299,0.277975,22.711431,0.783385,4,7
"chord_mrx_09_000007",74.776507,112.875102,74.111611,2.888836,8.506627,9.349134,8,10
"chord_mrx_09_000008",80.372936,172.329805,79.540908,0.478470,3.788847,13.035657,10,16
"chord_mrx_09_000009",87.675198,164.022857,87.592028,4.900665,2.986272,3.836297,8,13
"chord_mrx_09_000010",69.611656,149.394286,69.580571,8.792111,9.670784,8.108390,8,11
"chord_mrx_09_000011",83.027486,211.487347,82.785940,0.000000,2.902098,11.241792,7,10
"chord_mrx_09_000012",74.438475,147.513469,73.714394,3.440974,13.702951,5.688751,3,12
"chord_mrx_09_000013",80.329753,277.080816,78.762392,3.796235,8.921499,5.501608,8,21
"chord_mrx_09_000014",79.218299,263.332325,79.055171,3.562366,6.413183,5.660654,5,14
"chord_mrx_09_000015",79.962945,111.962523,79.885174,0.128905,8.271062,11.224300,10,13
"chord_mrx_09_000016",86.933899,180.192653,86.908127,0.060797,3.158249,7.154592,9,10
"chord_mrx_09_000017",0.205966,132.465487,0.000000,0.000000,95.934052,3.319512,8,10
"chord_mrx_09_000018",84.533280,101.459592,84.304421,0.000000,2.377947,0.915437,3,4
"chord_mrx_09_000019",66.434244,145.075374,66.012101,5.718334,19.398067,4.719405,5,6
"chord_mrx_09_000020",68.367743,129.509298,67.713328,4.255557,4.779330,18.287855,6,10
"chord_mrx_09_000021",78.490884,200.943000,78.280397,3.714747,11.340515,3.126105,5,11
"chord_mrx_09_000022",74.729549,157.152653,74.493142,0.000000,19.645533,2.371454,4,4
"chord_mrx_09_000023",88.836910,110.184490,88.641978,0.790304,4.067640,2.473183,4,6
"chord_mrx_09_000024",86.696693,154.955465,86.391376,1.168824,3.621564,5.596991,8,11
"chord_mrx_09_000025",78.662731,183.133000,77.871461,3.253426,10.531784,5.698149,6,17
"chord_mrx_09_000026",93.564572,174.158367,92.732947,0.000000,3.479609,1.466593,3,7
"chord_mrx_09_000027",84.076570,160.198986,84.031275,5.544526,2.711766,5.852278,5,7
"chord_mrx_09_000028",77.915901,347.205000,77.873154,1.441784,8.486437,8.656625,17,28
"chord_mrx_09_000029",83.830820,110.064000,83.785247,0.706804,3.811052,7.574750,8,11
"chord_mrx_09_000030",40.928033,121.376000,19.742964,0.000000,2.184305,0.918269,3,4
"chord_mrx_09_000031",20.386982,229.683084,20.366763,1.031175,70.713533,3.578785,3,6
"chord_mrx_09_000032",57.020512,20.206598,56.790686,5.515811,28.179543,7.903055,6,9
"chord_mrx_09_000033",87.273561,151.092245,86.920095,3.077080,3.192810,3.397092,12,15
"chord_mrx_09_000034",81.363246,158.066939,81.019868,6.604435,5.866030,2.515889,5,11
"chord_mrx_09_000035",79.749078,169.921000,79.656038,3.793211,1.734337,9.945916,12,16
"chord_mrx_09_000036",83.938563,217.887347,83.702861,0.559485,5.062040,9.430118,6,10
"chord_mrx_09_000037",72.029338,121.392510,71.608522,9.315371,4.743670,10.423437,5,11
"chord_mrx_09_000038",87.361077,195.343673,87.233295,2.472415,5.114526,4.005961,9,15
"chord_mrx_09_000039",70.626849,342.547000,61.651958,4.796274,11.291817,9.863988,9,22
"chord_mrx_09_000040",86.133114,228.600000,86.082525,2.114246,4.581364,5.363160,9,11
"chord_mrx_09_000041",77.047875,166.997912,76.060667,3.670718,3.719676,12.625193,7,15
"chord_mrx_09_000042",85.423331,127.686531,85.005073,1.418440,1.726907,8.347525,3,6
"chord_mrx_09_000043",68.334285,161.149388,60.339279,2.478342,4.039381,18.184110,5,16
